"","...1","X","Department","Physical","Bio","Food","Sports.Science","Day","Starting.Time","Ending.Time","Number.of.Credits","Course.Title","Course.Code","Subject.Code","Course","Academic.Year","Location","Lecture.Type","General","Special","Semester.Half","Lecturer in Charge","Lecturing Hours","Time Slot"
"96",304,304,"Computer Science",1,0,0,0,"Monday",10:15:00,12:00:00,2,"Database Management Systems","CSC 209 2.0","CSC","CSC 209 2.0 Database Management Systems",2,"NFC3","Lecture",1,0,1,"Dr. S Tissera",2,"10:15:00 - 12:00:00"
"97",307,307,"Computer Science",1,0,0,0,"Wednesday",08:00:00,09:45:00,1,"Computer Graphics","CSC 210 1.0","CSC","CSC 210 1.0 Computer Graphics",2,"NFC4","Lecture",1,0,1,"Prof. RGN Meegama",2,"08:00:00 - 09:45:00"
"98",310,310,"Computer Science",1,0,0,0,"Wednesday",10:15:00,12:00:00,2,"Operating Systems","CSC 208 2.0","CSC","CSC 208 2.0  Operating Systems",2,"NFC4","Lecture",1,0,1,"Mr. MDR Perera",2,"10:15:00 - 12:00:00"
"99",319,319,"Computer Science",1,0,0,0,"Monday",08:00:00,09:45:00,2,"Operations Research","CSC 355 2.0","CSC","CSC 355 2.0 Operations Research",3,"Stat Lab","Lecture",0,1,1,"Mr. DDA Gamini",2,"08:00:00 - 09:45:00"
"100",322,322,"Computer Science",1,0,0,0,"Monday",13:00:00,15:00:00,1.5,"Net Centric Computing","CSC 315 1.5","CSC","CSC 315 1.5 Net Centric Computing",3,"NFC4","Lecture",1,1,1,"Prof. RGN Meegama",2,"13:00:00 - 15:00:00"
"101",325,325,"Computer Science",1,0,0,0,"Tuesday",08:00:00,09:45:00,2,"Software Quality Assurance","CSC 365 2.0","CSC","CSC 365 2.0 Software Quality Assurance",3,"PLT","Lecture",1,1,1,"Dr. EATA Edirisuriya",2,"08:00:00 - 09:45:00"
"102",328,328,"Computer Science",1,0,0,0,"Tuesday",13:00:00,15:00:00,2,"Swarm Intelligence","CSC 361 2.0","CSC","CSC 361 2.0 Swarm Intelligence",3,"NFC4","Lecture",1,1,1,"Ms. MKA Ariyaratne",2,"13:00:00 - 15:00:00"
"103",331,331,"Computer Science",1,0,0,0,"Wednesday",08:00:00,09:45:00,2,"Artificial Intelligence","CSC 316 2.0","CSC","CSC 316 2.0 Artificial Intelligence",3,"NFC3","Lecture",1,1,1,"Mr. DDA Gamini",2,"08:00:00 - 09:45:00"
"104",334,334,"Computer Science",1,0,0,0,"Wednesday",13:00:00,15:00:00,1.5,"Human Computer Interaction","CSC 317 1.5","CSC","CSC 317 1.5 Human Computer Interaction",3,"NFC3","Lecture",1,1,1,"Dr. PRS De Silva",2,"13:00:00 - 15:00:00"
"105",340,340,"Computer Science",1,0,0,0,"Thursday",08:00:00,09:45:00,2,"Theory of Programming Languages","CSC 377 2.0","CSC","CSC 377 2.0  Theory of Programming Languages",3,"NFC3","Lecture",0,1,1,"Ms. MKA Ariyaratne",2,"08:00:00 - 09:45:00"
"106",343,343,"Computer Science",1,0,0,0,"Thursday",10:15:00,12:00:00,2,"Machine Learning II","CSC 375 2.0","CSC","CSC 375 2.0  Machine Learning II",3,"LCS2","Lecture",0,1,1,"Prof. TGI Fernando",2,"10:15:00 - 12:00:00"
"107",346,346,"Computer Science",1,0,0,0,"Thursday",13:00:00,15:00:00,1.5,"Embedded Systems and Internet of Things","CSC 376 1.5","CSC","CSC 376 1.5 Embedded Systems and Internet of Things",3,"LCS2","Lecture",0,1,1,"Mr. MDR Perera",2,"13:00:00 - 15:00:00"
"108",358,358,"Botany",0,1,0,0,"Tuesday",10:15:00,12:00:00,1,"Classical Genetics","PBT/PBL/MBL 126 1.0","PBT","PBT/PBL/MBL 126 1.0 Classical Genetics",1,"B1","Lecture",1,0,1,"Prof. P.N.Dasanayake",2,"10:15:00 - 12:00:00"
"109",361,361,"Botany",0,1,0,0,"Tuesday",10:15:00,12:00:00,1,"Principles of Ecology","PBT/PBL/MBL 123 1.0","PBT","PBT/PBL/MBL 123 1.0 Principles of Ecology",1,"B1","Lecture",1,0,2,"Dr. M.L.A.M.S. Munasinghe",2,"10:15:00 - 12:00:00"
"110",364,364,"Botany",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Plant Development & Propagation","PBT/PBL/MBL 124 1.0","PBT","PBT/PBL/MBL 124 1.0 Plant Development & Propagation",1,"B1","Lecture",1,0,1,"Prof. W.T.P.S.K.Senarath",2,"13:00:00 - 15:00:00"
"111",367,367,"Botany",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Plant Structure & Function","PBT/PBL/MBL 125 1.0","PBT","PBT/PBL/MBL 125 1.0 Plant Structure & Function",1,"B1","Lecture",1,0,2,"Prof. W.T.P.S.K.Senarath",2,"13:00:00 - 15:00:00"
"112",391,391,"Botany",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Microbial Genetics","MBL 223 1.0","MBL","MBL 223 1.0  Microbial Genetics",2,"S1","Lecture",1,0,1,"Mrs. C.B.Wijerathna",2,"13:00:00 - 15:00:00"
"113",394,394,"Botany",0,1,0,0,"Wednesday",13:00:00,15:00:00,2,"Molecular Genetics","
PBT 223 2.0","
PB","
PBT 223 2.0  Molecular Genetics",2,"F1","Lecture",1,0,1,"Dr. I. U. Kariyawasam",2,"13:00:00 - 15:00:00"
"114",397,397,"Botany",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Plant Physiology","
PBL 224 1.0 
","
PB","
PBL 224 1.0 
 Plant Physiology",2,"SLH - Botany","Lecture",1,0,1,"Dr. R.Wimalasekara",2,"13:00:00 - 15:00:00"
"115",400,400,"Botany",0,1,0,0,"Wednesday",13:00:00,15:00:00,1,"Fundamentals of Recombinant DNA Technology","PBL 225 1.0","PBL","PBL 225 1.0  Fundamentals of Recombinant DNA Technology",2,"SLH - Botany","Lecture",1,0,2,"Prof. P.N.Dasanayake",2,"13:00:00 - 15:00:00"
"116",403,403,"Botany",0,1,0,0,"Thursday",10:15:00,12:00:00,1,"Phytopathogenic Microorganisms <U+0096> 1","MBL 228 1.0
","MBL","MBL 228 1.0 Phytopathogenic Microorganisms <U+0096> 1",2,"B1","Lecture",1,0,1,"Ms. H.T.Mandakini",2,"10:15:00 - 12:00:00"
"117",406,406,"Botany",0,1,0,0,"Thursday",10:15:00,12:00:00,2,"Gene Technology","PBT 224 2.0","PBT","PBT 224 2.0 Gene Technology",2,"B2","Lecture",1,0,1,"Prof. P.N.Dasanayake",2,"10:15:00 - 12:00:00"
"118",409,409,"Botany",0,1,0,0,"Thursday",10:15:00,12:00:00,2,"Genetics","PBL 223 2.0","PBL","PBL 223 2.0  Genetics",2,"SLH - Botany","Lecture",1,0,1,"Dr. I. U. Kariyawasam",2,"10:15:00 - 12:00:00"
"119",427,427,"Botany",0,1,0,0,"Monday",08:00:00,09:45:00,2,"Industrial Biotechnology","PBT 325 2.0","PBT","PBT 325 2.0 Industrial Biotechnology",3,"A1","Lecture",1,0,1,"Dr. Kasun Thambugala",2,"08:00:00 - 09:45:00"
"120",430,430,"Botany",0,1,0,0,"Monday",08:00:00,08:50:00,1,"Economic Botany","PBL 321 1.0","PBL","PBL 321 1.0  Economic Botany",3,"B2","Lecture",1,0,1,"Mrs. C.B.Wijerathna",1,"08:00:00 - 08:50:00"
"121",433,433,"Botany",0,1,0,0,"Monday",08:55:00,09:45:00,1,"Plant Resources","PBL 325 1.0","PBL","PBL 325 1.0  Plant Resources",3,"B2","Lecture",1,0,1,"Mrs. C.B.Wijerathna",1,"08:55:00 - 09:45:00"
"122",436,436,"Botany",0,1,0,0,"Monday",14:00:00,16:00:00,1,"Industrial Management","MBL 326 1.0","MBL","MBL 326 1.0  Industrial Management",3,"B1","Lecture",1,0,1,"Mrs. M.W.Kalyani",2,"14:00:00 - 16:00:00"
"123",439,439,"Botany",0,1,0,0,"Monday",14:00:00,16:00:00,1,"Food & Dairy Microbiology","MBL 323 1.0","MBL","MBL 323 1.0  Food & Dairy Microbiology",3,"B1","Lecture",1,0,2,"Ms. H.T.Mandakini",2,"14:00:00 - 16:00:00"
"124",442,442,"Botany",0,1,0,0,"Tuesday",15:00:00,16:00:00,1,"Medical Biotechnology","PBT 324.1.0","PBT","PBT 324.1.0 Medical Biotechnology",3,"B1","Lecture",1,0,1,"Mrs. W.A.S.Wijendra",1,"15:00:00 - 16:00:00"
"125",445,445,"Botany",0,1,0,0,"Tuesday",15:00:00,16:00:00,1,"Applied Microbiology","PBL 326 1.0","PBL","PBL 326 1.0 Applied Microbiology",3,"B3","Lecture",1,0,1,"Ms. H.T.Mandakini",1,"15:00:00 - 16:00:00"
"126",448,448,"Botany",0,1,0,0,"Tuesday",16:00:00,17:00:00,1,"Bioinformatics & Molecular Modeling","PBT 327 1.0","PBT","PBT 327 1.0 Bioinformatics & Molecular Modeling",3,"B1","Lecture",1,0,1,"Dr. I. U. Kariyawasam",1,"16:00:00 - 17:00:00"
"127",454,454,"Botany",0,1,0,0,"Thursday",13:00:00,14:00:00,1,"Medical Microbiology","MBL 324 1.0","MBL","MBL 324 1.0 Medical Microbiology",3,"B1","Lecture",1,0,1,"Dr. Janani Kottahachchi",1,"13:00:00 - 14:00:00"
"128",457,457,"Botany",0,1,0,0,"Thursday",14:00:00,15:00:00,1,"Bioinformatics & Molecular Modeling","MBL 327 1.0","MBL","MBL 327 1.0 Bioinformatics & Molecular Modeling",3,"B1","Lecture",1,0,1,"Dr. I. U. Kariyawasam",1,"14:00:00 - 15:00:00"
"129",475,475,"Botany",0,1,0,0,"Monday",10:15:00,11:05:00,1,"Plant Synthetic Biology","PBT 393 1.0","PBT","PBT 393 1.0  Plant Synthetic Biology",3,"B2","Lecture",0,1,1,"Dr. R.Wimalasekara",1,"10:15:00 - 11:05:00"
"130",478,478,"Botany",0,1,0,0,"Monday",11:10:00,12:00:00,1,"Microbial Biochemistry","MBL 383 1.0","MBL","MBL 383 1.0 Microbial Biochemistry",3,"B2","Lecture",0,1,1,"Dr. R.Wimalasekara",1,"11:10:00 - 12:00:00"
"131",481,481,"Botany",0,1,0,0,"Monday",16:00:00,17:00:00,1,"Advanced Microbial Genetics","PBT 386 1.0","PBT","PBT 386 1.0 Advanced Microbial Genetics",3,"B2","Lecture",0,1,1,"Dr. Anusha Ekanayaka",1,"16:00:00 - 17:00:00"
"132",484,484,"Botany",0,1,0,0,"Tuesday",13:00:00,15:00:00,2,"Microbes in Pest Management","MBL 382 2.0","MBL","MBL 382 2.0 Microbes in Pest Management",3,"B3","Lecture",0,1,1,"Dr. Wathsala Udari",2,"13:00:00 - 15:00:00"
"133",487,487,"Botany",0,1,0,0,"Tuesday",17:00:00,17:45:00,1,"Advanced Genetics","PBL 386 1.0","PBL","PBL 386 1.0 Advanced Genetics",3,"B3","Lecture",0,1,1,"Dr. I. U. Kariyawasam",1,"17:00:00 - 17:45:00"
"134",490,490,"Botany",0,1,0,0,"Wednesday",08:00:00,08:50:00,1,"Applications in Nanobiology","PBT 394 1.0","PBT","PBT 394 1.0 Applications in Nanobiology",3,"B3","Lecture",0,1,1,"Mrs. C.B.Wijerathna",1,"08:00:00 - 08:50:00"
"135",493,493,"Botany",0,1,0,0,"Wednesday",08:00:00,08:50:00,1,"Applications in Nanobiology","MBL 394 1.0","MBL","MBL 394 1.0 Applications in Nanobiology",3,"B3","Lecture",0,1,1,"Mrs. C.B.Wijerathna",1,"08:00:00 - 08:50:00"
"136",496,496,"Botany",0,1,0,0,"Wednesday",08:55:00,09:45:00,1,"Marine Biotechnology","PBT 389 1.0","PBT","PBT 389 1.0 Marine Biotechnology",3,"B3","Lecture",0,1,1,"Dr. I. U. Kariyawasam",1,"08:55:00 - 09:45:00"
"137",499,499,"Botany",0,1,0,0,"Wednesday",15:00:00,17:00:00,2,"Biostatistics and Computer Applications","PBL 387 2.0","PBL","PBL 387 2.0 Biostatistics and Computer Applications",3,"NFC4","Lecture",0,1,1,"Dr. C. Wickramarachchi",2,"15:00:00 - 17:00:00"
"138",502,502,"Botany",0,1,0,0,"Wednesday",15:00:00,17:00:00,2,"Biostatistics and Computer Applications","PBT 387 2.0","PBT","PBT 387 2.0 Biostatistics and Computer Applications",3,"NFC4","Lecture",0,1,1,"Dr. C. Wickramarachchi",2,"15:00:00 - 17:00:00"
"139",505,505,"Botany",0,1,0,0,"Wednesday",15:00:00,17:00:00,2,"Biostatistics and Computer Applications","MBL 387 2.0","MBL","MBL 387 2.0 Biostatistics and Computer Applications",3,"NFC4","Lecture",0,1,1,"Dr. C. Wickramarachchi",2,"15:00:00 - 17:00:00"
"140",508,508,"Botany",0,1,0,0,"Thursday",08:00:00,09:45:00,2,"Advanced Phytotaxonomy","PBL 390 2.0","PBL","PBL 390 2.0  Advanced Phytotaxonomy",3,"B3","Lecture",0,1,1,"Dr. I. U. Kariyawasam",2,"08:00:00 - 09:45:00"
"141",511,511,"Botany",0,1,0,0,"Thursday",08:00:00,09:45:00,2,"Advanced Phytotaxonomy","PBT 390 2.0","PBT","PBT 390 2.0  Advanced Phytotaxonomy",3,"B3","Lecture",0,1,1,"Dr. I. U. Kariyawasam",2,"08:00:00 - 09:45:00"
"142",514,514,"Botany",0,1,0,0,"Thursday",10:15:00,12:00:00,1,"Fundamentals of GIS","PBL 384 1.0","PBL","PBL 384 1.0 Fundamentals of GIS",3,"F3","Lecture",0,1,1,"Dr. Daham Jayawardana",2,"10:15:00 - 12:00:00"
"143",526,526,"Botany",0,1,0,0,"Friday",13:00:00,15:00:00,1,"Advanced Mycology","MBL 393 1.0","MBL","MBL 393 1.0  Advanced Mycology",3,"B2","Lecture",0,1,1,"Dr. Dimuthu Manamgoda",2,"13:00:00 - 15:00:00"
"144",529,529,"Botany",0,1,0,0,"Monday",08:00:00,09:45:00,1,"Microbial Enzymes in Biotechnology","MBL 485 1.0","MBL","MBL 485 1.0 Microbial Enzymes in Biotechnology",4,"SLH - Botany","Lecture",0,1,1,"Dr. R.Wimalasekara",2,"08:00:00 - 09:45:00"
"145",532,532,"Botany",0,1,0,0,"Monday",10:15:00,12:00:00,2,"Introduction to Palynology","PBT 484 2.0","PBT","PBT 484 2.0  Introduction to Palynology",4,"B3","Lecture",0,1,1,"Dr. R.Wimalasekara",2,"10:15:00 - 12:00:00"
"146",535,535,"Botany",0,1,0,0,"Monday",13:00:00,15:00:00,2,"Advanced Applied Microbiology","PBL 492 2.0","PBL","PBL 492 2.0 Advanced Applied Microbiology",4,"SLH - Botany","Lecture",0,1,1,"Dr. Anusha Ekanayaka",2,"13:00:00 - 15:00:00"
"147",538,538,"Botany",0,1,0,0,"Monday",15:00:00,16:00:00,1,"Viral Genetics","PBT 495 1.0","PBT","PBT 495 1.0  Viral Genetics",4,"B2","Lecture",0,1,1,"Dr. Anusha Ekanayaka",1,"15:00:00 - 16:00:00"
"148",541,541,"Botany",0,1,0,0,"Monday",16:00:00,17:00:00,1,"Laboratory Management for Microbiologist","MBL 497 1.0","MBL","MBL 497 1.0 Laboratory Management for Microbiologist",4,"B3","Lecture",0,1,1,"Mrs. C.B.Wijerathna",1,"16:00:00 - 17:00:00"
"149",544,544,"Botany",0,1,0,0,"Tuesday",08:00:00,09:45:00,2,"Molecular Diagnosis of Plant Diseases","PBT 499 2.0","PBT","PBT 499 2.0 Molecular Diagnosis of Plant Diseases",4,"B3","Lecture",0,1,1,"Dr. Dimuthu Manamgoda",2,"08:00:00 - 09:45:00"
"150",547,547,"Botany",0,1,0,0,"Tuesday",08:00:00,09:45:00,2,"Molecular Diagnosis of Plant Diseases","MBL 499 2.0","MBL","MBL 499 2.0 Molecular Diagnosis of Plant Diseases",4,"B3","Lecture",0,1,1,"Dr. Dimuthu Manamgoda",2,"08:00:00 - 09:45:00"
"151",550,550,"Botany",0,1,0,0,"Tuesday",08:00:00,08:50:00,1,"Cell Signaling","PBT 486 1.0","PBT","PBT 486 1.0 Cell Signaling",4,"B3","Lecture",0,1,1,"Dr. R.Wimalasekara",1,"08:00:00 - 08:50:00"
"152",553,553,"Botany",0,1,0,0,"Tuesday",08:55:00,09:45:00,1,"Plant Developmental Genetics","PBT 490 1.0","PBT","PBT 490 1.0 Plant Developmental Genetics",4,"B3","Lecture",0,1,1,"Dr. R.Wimalasekara",1,"08:55:00 - 09:45:00"
"153",556,556,"Botany",0,1,0,0,"Tuesday",10:15:00,12:00:00,2,"Environmental Microbiology","MBL 493 2.0","MBL","MBL 493 2.0 Environmental Microbiology",4,"B2","Lecture",0,1,1,"Dr. Anusha Ekanayaka",2,"10:15:00 - 12:00:00"
"154",559,559,"Botany",0,1,0,0,"Saturday",08:55:00,12:00:00,2,"Plant Quarantine","MBL 496 2.0","MBL","MBL 496 2.0  Plant Quarantine",4,"B2","Lecture",0,1,1,"Ms. Champika Hewage",3,"08:55:00 - 12:00:00"
"155",562,562,"Botany",0,1,0,0,"Saturday",08:55:00,12:00:00,2,"Plant Quarantine","PBT 496 2.0","PBT","PBT 496 2.0  Plant Quarantine",4,"B2","Lecture",0,1,1,"Ms. Champika Hewage",3,"08:55:00 - 12:00:00"
"156",565,565,"Botany",0,1,0,0,"Saturday",13:00:00,15:00:00,2,"Crop Protection","PBL 480 2.0","PBL","PBL 480 2.0 Crop Protection",4,"B2","Lecture",0,1,1,"Dr. Wathsala Udari",2,"13:00:00 - 15:00:00"
"157",568,568,"Botany",0,1,0,0,"Sunday",08:55:00,16:00:00,2,"Advanced Plant Pathology","MBL 483 2.0","MBL","MBL 483 2.0 Advanced Plant Pathology",4,"B2","Lecture",0,1,1,"Prof. Renuka Aththanayake",7,"08:55:00 - 16:00:00"
"158",571,571,"Botany",0,1,0,0,"Sunday",08:55:00,16:00:00,2,"Advanced Plant Pathology","PBL 482 2.0","PBL","PBL 482 2.0 Advanced Plant Pathology",4,"B2","Lecture",0,1,1,"Prof. Renuka Aththanayake",7,"08:55:00 - 16:00:00"
"159",574,574,"Chemistry",1,1,0,0,"Monday",08:00:00,08:50:00,1,"Organic Chemistry II","CHE 109 1.0","CHE","CHE 109 1.0 Organic Chemistry II",1,"C1","Lecture",1,0,1,"Prof. C Padumadasa",1,"08:00:00 - 08:50:00"
"160",577,577,"Chemistry",1,1,0,0,"Tuesday",08:00:00,09:45:00,2,"Introduction to Analytical Chemistry","CHE 111 2.0","CHE","CHE 111 2.0  Introduction to Analytical Chemistry",1,"C1","Lecture",1,0,1,"Prof. C D Jayaweera",2,"08:00:00 - 09:45:00"
"161",580,580,"Chemistry",1,1,0,0,"Tuesday",16:00:00,17:00:00,1,"Chemical Thermodynamics","CHE 103 1.0","CHE","CHE 103 1.0  Chemical Thermodynamics",1,"C1","Lecture",1,0,1,"Dr. Tharindu Senapathi",1,"16:00:00 - 17:00:00"
"162",592,592,"Chemistry",1,1,0,0,"Wednesday",10:15:00,11:05:00,1,"Organic Spectroscopy","CHE 203 1.0","CHE","CHE 203 1.0 Organic Spectroscopy",2,"C1","Lecture",1,0,1,"Prof. Asiri Perera",1,"10:15:00 - 11:05:00"
"163",595,595,"Chemistry",1,1,0,0,"Wednesday",11:10:00,12:00:00,1,"Electrochemistry","CHE 204 
1.0","CHE","CHE 204 1.0 Electrochemistry",2,"C1","Lecture",1,0,1,"Dr. L Palliyaguru",1,"11:10:00 - 12:00:00"
"164",598,598,"Chemistry",1,1,0,0,"Thursday",13:00:00,14:00:00,1,"Chemistry of Coordination Compounds","CHE 202 
1.0","CHE","CHE 202 1.0  Chemistry of Coordination Compounds",2,"C1","Lecture",1,0,1,"Dr. Isuri Weerarathne",1,"13:00:00 - 14:00:00"
"165",601,601,"Chemistry",1,1,0,0,"Thursday",14:00:00,15:00:00,1,"Chemical Kinetics","CHE 206 
1.0","CHE","CHE 206 1.0 Chemical Kinetics",2,"C1","Lecture",1,0,1,"Dr. Imalka Munaweera",1,"14:00:00 - 15:00:00"
"166",607,607,"Chemistry",1,1,0,0,"Monday",16:00:00,17:00:00,1,"Quality Control and Assurance","CHE 333 
1.0","CHE","CHE 333 1.0 Quality Control and Assurance",3,"C1","Lecture",1,0,1,"Dr. Upul Kumarasinghe",1,"16:00:00 - 17:00:00"
"167",610,610,"Chemistry",1,1,0,0,"Tuesday",08:00:00,08:50:00,1,"Industrial Organic Chemistry","CHE 345 
1.0","CHE","CHE 345 1.0  Industrial Organic Chemistry",3,"S1","Lecture",1,0,1,"Dr. Upul Kumarasinghe",1,"08:00:00 - 08:50:00"
"168",613,613,"Chemistry",1,1,0,0,"Tuesday",17:00:00,17:45:00,1,"Basic Chemical Engineering","CHE 312 
1.0","CHE","CHE 312 1.0 Basic Chemical Engineering",3,"C1","Lecture",1,0,1,"VL",1,"17:00:00 - 17:45:00"
"169",616,616,"Chemistry",1,1,0,0,"Wednesday",08:00:00,08:50:00,1,"Introduction to Molecular Modeling and Designing","CHE 340 
1.0","CHE","CHE 340 1.0  Introduction to Molecular Modeling and Designing",3,"C1","Lecture",1,0,1,"Dr. R Jayakody",1,"08:00:00 - 08:50:00"
"170",622,622,"Chemistry",1,1,0,0,"Thursday",08:00:00,08:50:00,1,"Structure and Function of Biomolecules","CHE 330 
1.0","CHE","CHE 330 1.0 Structure and Function of Biomolecules",3,"C1","Lecture",1,0,1,"Prof. P Godakumbura",1,"08:00:00 - 08:50:00"
"171",625,625,"Chemistry",1,1,0,0,"Thursday",08:55:00,09:45:00,1,"Industrial Utilization of Plant Materials","CHE 302 
1.0","CHE","CHE 302 1.0 Industrial Utilization of Plant Materials",3,"C1","Lecture",1,0,1,"Prof. P Godakumbura",1,"08:55:00 - 09:45:00"
"172",628,628,"Chemistry",1,1,0,0,"Monday",08:00:00,09:45:00,2,"Organic Synthesis and Industrial Applications","ICH 363 2.0","ICH","ICH 363 2.0 Organic Synthesis and Industrial Applications",3,"C3","Lecture",0,1,1,"Dr. Upul Kumarasinghe",2,"08:00:00 - 09:45:00"
"173",631,631,"Chemistry",1,1,0,0,"Monday",10:15:00,11:05:00,1,"Spectroscopic Techniques for Identification of Organic Compounds","ICH 365 1.0","ICH","ICH 365 1.0 Spectroscopic Techniques for Identification of Organic Compounds",3,"C3","Lecture",0,1,1,"Prof. C Padumadasa",1,"10:15:00 - 11:05:00"
"174",634,634,"Chemistry",1,1,0,0,"Monday",13:00:00,14:00:00,2,"Chemical Kinetics and Thermodynamics","ICH 373 2.0","ICH","ICH 373 2.0 Chemical Kinetics and Thermodynamics",3,"C3","Lecture",0,1,1,"Dr. L Palliyaguru",1,"13:00:00 - 14:00:00"
"175",635,635,"Chemistry",1,1,0,0,"Monday",13:00:00,14:00:00,2,"Chemical Kinetics and Thermodynamics","ICH 373 2.0","ICH","ICH 373 2.0 Chemical Kinetics and Thermodynamics",3,"C3","Lecture",0,1,1,"Dr. Tharindu Senapathi",1,"13:00:00 - 14:00:00"
"176",637,637,"Chemistry",1,1,0,0,"Monday",15:00:00,17:00:00,2,"Food Chemistry and Technology","ICH 369 2.0","ICH","ICH 369 2.0 Food Chemistry and Technology",3,"C3","Lecture",0,1,1,"Prof. P Godakumbura",2,"15:00:00 - 17:00:00"
"177",643,643,"Chemistry",1,1,0,0,"Wednesday",08:00:00,09:45:00,2,"Molecular Modelling and Computational Chemistry","ICH 370 2.0","ICH","ICH 370 2.0 Molecular Modelling and Computational Chemistry",3,"C3","Lecture",0,1,1,"Dr. R Jayakody",2,"08:00:00 - 09:45:00"
"178",646,646,"Chemistry",1,1,0,0,"Thursday",08:55:00,09:45:00,1,"Spectroscopic Techniques for Identification of Inorganic Complexes","ICH 364 1.0","ICH","ICH 364 1.0 Spectroscopic Techniques for Identification of Inorganic Complexes",3,"C3","Lecture",0,1,1,"Prof. NT Perera",1,"08:55:00 - 09:45:00"
"179",649,649,"Chemistry",1,1,0,0,"Thursday",10:15:00,12:00:00,2,"Microscopic and Scattering Techniques","ICH 367 2.0","ICH","ICH 367 2.0 Microscopic and Scattering Techniques",3,"C4","Lecture",0,1,1,"Dr. L Palliyaguru",2,"10:15:00 - 12:00:00"
"180",650,650,"Chemistry",1,1,0,0,"Thursday",10:15:00,12:00:00,2,"Microscopic and Scattering Techniques","ICH 367 2.0","ICH","ICH 367 2.0 Microscopic and Scattering Techniques",3,"C4","Lecture",0,1,1,"Dr. S Rajapaksha",2,"10:15:00 - 12:00:00"
"181",652,652,"Chemistry",1,1,0,0,"Monday",08:00:00,08:50:00,1,"Alternative Energy Sources and Energy Storage Devices","ICH 457 1.0","ICH","ICH 457 1.0 Alternative Energy Sources and Energy Storage Devices",4,"SCR","Lecture",0,1,1,"Dr. Isuri Weerarathne",1,"08:00:00 - 08:50:00"
"182",655,655,"Chemistry",1,1,0,0,"Monday",10:15:00,12:00:00,2,"Petroleum Chemistry and Petrochemical Industry","ICH 476 2.0","ICH","ICH 476 2.0 Petroleum Chemistry and Petrochemical Industry",4,"SCR","Lecture",0,1,1,"VL",2,"10:15:00 - 12:00:00"
"183",658,658,"Chemistry",1,1,0,0,"Monday",13:00:00,15:00:00,2,"Quality Assurance, Accreditation and Project Management","ICH 484 2.0","ICH","ICH 484 2.0 Quality Assurance, Accreditation and Project Management",4,"SCR","Lecture",0,1,1,"VL",2,"13:00:00 - 15:00:00"
"184",661,661,"Chemistry",1,1,0,0,"Monday",10:15:00,11:05:00,1,"Advanced Organic Spectroscopy","CHE 358 1.0","CHE","CHE 358 1.0 Advanced Organic Spectroscopy",3,"C3","Lecture",0,1,1,"Prof. C Padumadasa",1,"10:15:00 - 11:05:00"
"185",664,664,"Chemistry",1,1,0,0,"Monday",11:10:00,12:00:00,1,"Advanced Coordination Chemistry","CHE 367 1.0","CHE","CHE 367 1.0 Advanced Coordination Chemistry",3,"C3","Lecture",0,1,1,"Dr. M Kartunaratne",1,"11:10:00 - 12:00:00"
"186",667,667,"Chemistry",1,1,0,0,"Tuesday",08:00:00,08:50:00,1,"Advanced Quantum Chemistry","CHE 362 1.0","CHE","CHE 362 1.0 Advanced Quantum Chemistry",3,"C3","Lecture",0,1,1,"Dr. R Jayakody",1,"08:00:00 - 08:50:00"
"187",673,673,"Chemistry",1,1,0,0,"Wednesday",10:15:00,11:05:00,1,"Natural Product Chemistry","CHE 384 1.0","CHE","CHE 384 1.0 Natural Product Chemistry",3,"C4","Lecture",0,1,1,"Dr. I Fernando",1,"10:15:00 - 11:05:00"
"188",676,676,"Chemistry",1,1,0,0,"Wednesday",11:10:00,12:00:00,1,"Inorganic Reaction Mechanisms","CHE 354 1.0","CHE","CHE 354 1.0 Inorganic Reaction Mechanisms",3,"C4","Lecture",0,1,1,"Dr. Imalka Munaweera",1,"11:10:00 - 12:00:00"
"189",679,679,"Chemistry",1,1,0,0,"Thursday",08:00:00,08:50:00,1,"Structural Chemistry","CHE 353 1.0","CHE","CHE 353 1.0 Structural Chemistry",3,"C3","Lecture",0,1,1,"Dr. M Kartunaratne",1,"08:00:00 - 08:50:00"
"190",682,682,"Chemistry",1,1,0,0,"Thursday",08:55:00,09:45:00,1,"Spectroscopic Methods in Inorganic Chemistry","CHE 352 1.0","CHE","CHE 352 1.0 Spectroscopic Methods in Inorganic Chemistry",3,"C3","Lecture",0,1,1,"Prof. NT Perera",1,"08:55:00 - 09:45:00"
"191",685,685,"Chemistry",1,1,0,0,"Thursday",10:15:00,11:05:00,1,"Asymmetric Organic Synthesis","CHE 385 1.0","CHE","CHE 385 1.0 Asymmetric Organic Synthesis",3,"C3","Lecture",0,1,1,"Dr. Upul Kumarasinghe",1,"10:15:00 - 11:05:00"
"192",688,688,"Chemistry",1,1,0,0,"Thursday",11:10:00,12:00:00,1,"Biochemistry","CHE 371 1.0","CHE","CHE 371 1.0 Biochemistry",3,"C3","Lecture",0,1,1,"Prof. P Godakumbura",1,"11:10:00 - 12:00:00"
